Time(s),AU46-EQ6-psaNorthSouth(g),AU46-EQ6-psaEastWest(g),CO47-EQ18-psaNorthSouth(g),CO47-EQ18-psaEastWest(g),DR16-EQ24-psaNorthSouth(g),DR16-EQ24-psaEastWest(g),DX37-EQ25-psaNorthSouth(g),DX37-EQ25-psaEastWest(g),EO30-EQ26-psaNorthSouth(g),EO30-EQ26-psaEastWest(g),GR27-EQ31-psaNorthSouth(g),GR27-EQ31-psaEastWest(g),ME52-EQ39-psaNorthSouth(g),ME52-EQ39-psaEastWest(g),Median-ZoneII-psaNorthSouth(g),StandardDev-ZoneII-psaNorthSouth(g),Median-ZoneII-psaEastWest(g),StandardDev-ZoneII-psaEastWest(g)
0.48,0.13576362,0.161274205,0.248710551,0.460209938,0.201137624,0.209239779,0.28668101,0.234210702,0.240084993,0.334011504,0.143974108,0.226739412,0.172873328,0.203901154,0.201137624,0.05260835,0.226739412,0.094710394
0.49,0.13645327,0.173097058,0.240813918,0.463067796,0.207245112,0.223508579,0.287948016,0.244395602,0.251103537,0.355585575,0.146721925,0.24825799,0.182456658,0.191570241,0.207245112,0.051895233,0.244395602,0.095182815
0.5,0.134295859,0.185620678,0.227008626,0.460050039,0.219182917,0.244145874,0.290322575,0.248100637,0.248680857,0.37049073,0.150165445,0.262061754,0.182571409,0.179834185,0.219182917,0.051185992,0.248100637,0.094232746
0.51,0.132444474,0.195678858,0.209746216,0.453310884,0.236199969,0.273702748,0.291065681,0.245326643,0.247704808,0.381507943,0.153468773,0.270397691,0.182775242,0.185714106,0.209746216,0.05153679,0.270397691,0.09053567
0.52,0.13647871,0.19655515,0.214859984,0.443756888,0.254609742,0.302776395,0.28994607,0.247169264,0.255044561,0.391371696,0.155505341,0.283551711,0.195274861,0.202712268,0.214859984,0.051937026,0.283551711,0.086274188
0.53,0.149823926,0.191078178,0.20426273,0.42367361,0.266633612,0.325579673,0.287459244,0.247954418,0.262970547,0.394518264,0.162167633,0.283646192,0.201053737,0.216101709,0.20426273,0.049918894,0.283646192,0.081695226
0.54,0.161387481,0.188040233,0.206400932,0.391148497,0.266033838,0.37728627,0.28260655,0.242490777,0.264446322,0.391390664,0.17900609,0.27596918,0.199912565,0.218627256,0.206400932,0.044179127,0.27596918,0.080748665
0.55,0.174548423,0.194372076,0.200343206,0.3528712,0.271593515,0.410664055,0.276211758,0.23341313,0.256607673,0.38490624,0.191130804,0.281652604,0.193362088,0.215347453,0.200343206,0.039778163,0.281652604,0.080393955
0.56,0.190602953,0.206314106,0.185341421,0.322153215,0.279954661,0.415132368,0.272417679,0.232979082,0.238245326,0.377113029,0.19666422,0.292077776,0.182379387,0.212643582,0.19666422,0.039089366,0.292077776,0.075977756
0.57,0.205259568,0.21688023,0.170639384,0.303388937,0.294219599,0.410481682,0.27231459,0.236417576,0.216276225,0.380826608,0.211504842,0.308434957,0.1685225,0.204730339,0.211504842,0.0441343,0.303388937,0.074291128
0.58,0.216900131,0.224563579,0.15972485,0.292942111,0.32742814,0.413505688,0.273334974,0.240447602,0.198555135,0.397174691,0.216462778,0.314979615,0.159010095,0.193140367,0.216462778,0.056317559,0.292942111,0.078539879
0.59,0.225425013,0.230275777,0.150451654,0.287290661,0.35328533,0.418081526,0.273817641,0.248195354,0.190111866,0.416615041,0.211773049,0.314484164,0.167080268,0.17748785,0.211773049,0.064523994,0.287290661,0.084903191
0.6,0.230378957,0.233841853,0.151192878,0.283312569,0.358944677,0.414988613,0.279247672,0.25882869,0.198423162,0.424454097,0.214356524,0.319473726,0.176545237,0.166828991,0.214356524,0.064765376,0.283312569,0.087157467
0.61,0.231981003,0.234015243,0.150648794,0.276352436,0.342298802,0.398660771,0.288141559,0.267811693,0.211801809,0.421297126,0.227333324,0.3352962,0.185871236,0.160185889,0.227333324,0.059118549,0.276352436,0.085510412
0.62,0.231911719,0.231080565,0.155140976,0.266098954,0.31187518,0.371594878,0.295596457,0.27138794,0.228718431,0.400396706,0.248030779,0.358686678,0.194750126,0.1793812,0.231911719,0.050334445,0.27138794,0.075451884
0.63,0.230880878,0.227467363,0.15531268,0.255243199,0.279659381,0.337569202,0.30051677,0.268327743,0.232829225,0.369482792,0.279474069,0.387626636,0.20247209,0.19570466,0.232829225,0.047068378,0.268327743,0.068214296
0.64,0.229280643,0.226589471,0.150038271,0.245006988,0.25448681,0.30184371,0.303027266,0.274947596,0.233104974,0.334754501,0.309703743,0.421852519,0.207201841,0.20615274,0.233104974,0.051221512,0.274947596,0.06843115
0.65,0.228140854,0.229916408,0.142644271,0.234420034,0.239454782,0.268128242,0.303803097,0.278037533,0.235433749,0.308717347,0.334269817,0.458844499,0.21511953,0.212165631,0.235433749,0.057527322,0.268128242,0.077470441
0.66,0.230604416,0.237075134,0.135263273,0.222985921,0.233299029,0.242115943,0.303796081,0.275057303,0.234841098,0.292119232,0.349821851,0.497176275,0.225784486,0.236424713,0.233299029,0.06245338,0.242115943,0.089042857
0.67,0.238114651,0.244860739,0.140589406,0.210845416,0.232434604,0.227811064,0.314219925,0.270480718,0.234581608,0.277726075,0.35667378,0.538019981,0.239543414,0.253557946,0.238114651,0.063544841,0.253557946,0.103880179
0.68,0.249837495,0.251792693,0.146129806,0.19852313,0.23228586,0.224898232,0.328662059,0.269749503,0.235829987,0.263836951,0.356713326,0.585973159,0.248764301,0.260239711,0.248764301,0.063861902,0.260239711,0.12163003
