Time(s),AL01-EQ2-psaNorthSouth(g),AL01-EQ2-psaEastWest(g),BL45-EQ8-psaNorthSouth(g),BL45-EQ8-psaEastWest(g),CI05-EQ15-psaNorthSouth(g),CI05-EQ15-psaEastWest(g),CJ03-EQ16-psaNorthSouth(g),CJ03-EQ16-psaEastWest(g),CJ04-EQ17-psaNorthSouth(g),CJ04-EQ17-psaEastWest(g),CO56-EQ19-psaNorthSouth(g),CO56-EQ19-psaEastWest(g),GA62-EQ29-psaNorthSouth(g),GA62-EQ29-psaEastWest(g),GC38-EQ30-psaNorthSouth(g),GC38-EQ30-psaEastWest(g),LI58-EQ37-psaNorthSouth(g),LI58-EQ37-psaEastWest(g),PE10-EQ47-psaNorthSouth(g),PE10-EQ47-psaEastWest(g),RM48-EQ49-psaNorthSouth(g),RM48-EQ49-psaEastWest(g),SP51-EQ51-psaNorthSouth(g),SP51-EQ51-psaEastWest(g),TL08-EQ53-psaNorthSouth(g),TL08-EQ53-psaEastWest(g),TL55-EQ54-psaNorthSouth(g),TL55-EQ54-psaEastWest(g),VG09-EQ58-psaNorthSouth(g),VG09-EQ58-psaEastWest(g)
0.410,0.219266608,0.300697438,0.285942752,0.247478503,0.17043184,0.263088597,0.158663492,0.192574203,0.174703957,0.192605581,0.182736509,0.216076883,0.140874522,0.22972283,0.185736079,0.244001247,0.178199846,0.210042617,0.167460791,0.210695148,0.108826655,0.110786036,0.189119313,0.192100647,0.148124497,0.101647577,0.135013041,0.102271556,0.26993045,0.185533012
0.420,0.207996924,0.281001951,0.286732082,0.222438391,0.185269159,0.251279656,0.156742059,0.201897658,0.172235225,0.200725729,0.179779851,0.186997509,0.156584591,0.222894406,0.198276915,0.22923627,0.168438444,0.205711239,0.185038012,0.226471974,0.11619642,0.106663672,0.186034248,0.199410643,0.145692397,0.104003205,0.143253334,0.098074493,0.314610278,0.192334726
0.430,0.22128387,0.277449765,0.280278569,0.203157885,0.195969706,0.254646092,0.159560119,0.201822711,0.173874259,0.199717176,0.167904408,0.175710505,0.167486094,0.215845563,0.200989583,0.227103187,0.159548898,0.203535786,0.202311028,0.245500007,0.127732967,0.106542022,0.185307617,0.192699481,0.141568295,0.103801511,0.157845423,0.093308295,0.359362294,0.213005164
0.440,0.236202347,0.285139466,0.266446087,0.190745044,0.210010749,0.277536908,0.156903017,0.198934814,0.175393441,0.196264525,0.15330152,0.174995168,0.171449945,0.207546762,0.191471406,0.221876583,0.148145604,0.204800918,0.211469857,0.266203509,0.130999776,0.103973187,0.212173924,0.20038842,0.144440815,0.114142908,0.167408758,0.098277643,0.368764207,0.217325414
0.450,0.238818796,0.288176411,0.249806197,0.182813209,0.215196874,0.304164704,0.148605706,0.197262141,0.176070154,0.194613977,0.165667915,0.167117747,0.168842298,0.194618839,0.176228908,0.214852065,0.148875973,0.206913404,0.209423503,0.287361419,0.129708354,0.106133959,0.228517121,0.204903748,0.152862569,0.123650463,0.175976038,0.102948535,0.346546513,0.202780806
0.460,0.229378906,0.286700465,0.229221771,0.181502672,0.213354106,0.320646841,0.153934299,0.189222234,0.184006467,0.186482214,0.174949306,0.157500154,0.174818816,0.176763522,0.170685804,0.205744964,0.165479047,0.208546746,0.208703338,0.308700747,0.12760646,0.106770952,0.231111506,0.205382294,0.161555432,0.131629626,0.184224403,0.106772425,0.307093941,0.19514234
0.470,0.223137484,0.286842053,0.202997499,0.182531278,0.208688578,0.322875647,0.162997411,0.179186464,0.194772507,0.179017936,0.178624281,0.157550659,0.188083031,0.187835315,0.168753626,0.197942364,0.173924793,0.20942479,0.213392227,0.326410475,0.124822825,0.104252069,0.226174489,0.205979683,0.168699878,0.144169167,0.192413765,0.111690219,0.281530117,0.183068483
0.480,0.232599431,0.287312053,0.179292244,0.182242142,0.201292125,0.315827322,0.166332016,0.184055939,0.199122752,0.184345307,0.178580362,0.159696556,0.202953963,0.201861563,0.1801711,0.193616473,0.17255852,0.207065516,0.217774322,0.327612882,0.129105563,0.106504693,0.218944368,0.207187408,0.172319753,0.155517094,0.198368786,0.114644163,0.248512813,0.172852686
0.490,0.245026322,0.282209633,0.190377704,0.192438304,0.197805591,0.302618493,0.161927086,0.186716894,0.195228187,0.185666614,0.178652103,0.161034603,0.211682304,0.218094902,0.19246497,0.190472365,0.16786436,0.199343971,0.211107162,0.315692868,0.140474938,0.11135221,0.210225894,0.207918282,0.172026271,0.169184245,0.196837128,0.114279157,0.226698534,0.164868766
0.500,0.258574088,0.273750241,0.203309606,0.202337236,0.213588505,0.287783888,0.157203506,0.191064879,0.187819667,0.188610348,0.18103676,0.153690098,0.221979377,0.238251626,0.200196353,0.1853036,0.165004617,0.189829344,0.190503661,0.294616569,0.149403213,0.115628664,0.199743782,0.207978165,0.169727117,0.180689126,0.18679235,0.10920509,0.216459811,0.160017027
