T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic)
0.98,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3352,0.6704,0.3,0.6
0.99,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3376,0.6752,0.3,0.6
1,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.34,0.68,0.3,0.6
1.01,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3424,0.6848,0.3,0.6
1.02,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3448,0.6896,0.3,0.6
1.03,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3472,0.6944,0.3,0.6
1.04,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3496,0.6992,0.3,0.6
1.05,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.352,0.704,0.3,0.6
1.06,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3544,0.7088,0.3,0.6
1.07,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3568,0.7136,0.3,0.6
1.08,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3592,0.7184,0.3,0.6
1.09,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3616,0.7232,0.3,0.6
1.1,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.364,0.728,0.3,0.6
1.11,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3664,0.7328,0.3,0.6
1.12,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3688,0.7376,0.3,0.6
1.13,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3712,0.7424,0.3,0.6
1.14,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3736,0.7472,0.3,0.6
1.15,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.376,0.752,0.3,0.6
